RatingID;Rating;RatingCount;ProductID
315;4.3;838;B08NW8GHCJ
316;4.2;143;B09YHLPQYT
317;4.0;151;B08G1RW2Q3
318;3.9;200;B08YXJJW8H
319;3.3;227;B09P8M18QM
320;3.8;538;B08BG4M4N7
321;4.0;171;B07VJ9ZTXS
322;4.3;27508;B084872DQY
323;3.9;1454;B00GGGOYEU
324;4.2;2951;B08FD2VSD9
325;5.0;;B0BQRJ3C47
326;4.1;6753;B095JPKPH3
327;3.9;3518;B087JWLZ2K
328;4.2;151;B09DSXK8JX
329;4.3;838;B08V9C4B1J
330;3.8;136;B08PKBMJKS
331;4.3;301;B0B8VQ7KDS
332;4.4;19763;B086JTMRYL
333;4.3;21252;B09RWQ7YR6
334;4.3;1902;B00OFM6PEO
335;4.2;13937;B0BF57RN3K
336;4.3;27696;B0B3RRWSF6
337;3.8;17831;B0B5B6PQCT
338;4.3;178912;B08HV83HL3
339;4.0;7807;B0BBN4DZBD
340;4.3;17415;B0B3CPQ5PF
341;4.3;17415;B0B3CQBRB4
342;4.0;7807;B0BBN56J5H
343;4.0;7807;B0BBN3WF7V
344;4.4;67259;B0BDRVFDKP
345;4.1;10689;B0B5LVS732
346;4.0;128311;B09V2Q4QVQ
347;3.9;21796;B09V12K8NT
348;4.1;192590;B01DEWVZ2C
349;4.2;284;B0BMGB3CH9
350;3.9;58162;B08D77XZX5
351;4.0;12796;B09XB8GFBQ
352;4.0;14282;B07WG8PDCW
353;4.1;363713;B07GPXXNNG
354;4.4;67259;B0BDYVC5TD
355;4.2;284;B0BMGB2TPR
356;4.3;1597;B08MC57J31
357;4.3;178912;B08HVL8QN3
358;3.9;46399;B0746JGVDS
359;4.4;8891;B08VFF6JQ8
360;4.0;30254;B09NVPSCQT
361;4.2;22636;B09YV4RG4D
362;4.1;22318;B09TWHTBKQ
363;4.4;67259;B08L5HMJVW
364;4.1;18998;B0B4F2XCK3
365;4.2;13937;B0BF54972T
366;4.2;29471;B09YV4MW2T
367;4.1;22318;B09TWH8YHM
368;4.0;2135;B07WGMMQGP
369;4.2;13937;B0BF563HB4
370;4.2;2427;B07JW9H4J1
371;4.1;313836;B09GFPVD9Y
372;4.1;313836;B09GFLXVH9
373;4.2;13937;B0BF4YBLPX
374;4.0;12796;B09XB7DPW1
375;4.3;14185;B07PFJ5W31
376;4.3;17159;B0B3N7LR6K
377;4.1;5179;B09ZQK9X8G
378;4.0;43993;B098NS6PVG
379;4.1;19252;B07WJV6P1R
380;3.9;7928;B096MSW6CT
381;4.2;13937;B0BF54LXW6
382;4.0;12796;B09XB7SRQ5
383;4.4;168;B09FFK1PQG
384;4.2;13246;B09RMQYHLH
385;3.8;14648;B08ZN4B121
386;4.3;27696;B0B3RSDSZ3
387;4.2;32916;B08VB34KJ1
388;3.9;25824;B09T39K9YL
389;4.4;7462;B08VF8V79P
390;4.0;37817;B08G28Z33M
391;4.0;30254;B09PNKXSKF
392;3.8;17831;B0B5DDJNH4
393;4.2;94364;B08HDJ86NZ
394;4.2;16905;B08CF3B7N1
395;4.4;20311;B07WDKLDRX
396;4.2;69622;B09MQSCJQ1
397;4.0;3382;B094YFFSMY
398;4.3;140036;B09MT84WV5
399;4.1;8599;B08VS3YLRK
400;4.1;18998;B0B4F3QNDM
401;4.1;363713;B07GQD4K6L
402;4.1;19252;B07WDKLRM4
403;4.4;73;B0BP18W8TM
404;3.9;2487;B08Y1TFSP6
405;4.3;42641;B07GXHC691
406;4.0;439;B08FN6WGDQ
407;4.3;17415;B0B3D39RKV
408;4.0;1396;B085HY1DGR
409;3.6;18202;B08D75R3Z1
410;4.1;18998;B0B4F2TTTS
411;4.2;11029;B09WRMNJ9G
412;4.1;22318;B0B14MR9L1
413;4.1;1786;B09ZPL5VYM
414;4.0;7222;B0993BB11X
415;4.0;128311;B09V2PZDX8
416;3.5;83996;B085W8CFLH
417;4.3;140036;B09MT6XSFW
418;4.1;18678;B07RD611Z8
419;4.1;15189;B08WRWPM22
420;4.1;18998;B0B4F52B5X
421;4.1;48449;B096VF5YYF
422;3.8;17831;B0B5D39BCD
423;4.3;30411;B08DDRGWTJ
424;4.0;43994;B082LZGK39
425;4.2;1315;B09XBJ1CTN
426;4.1;18998;B0B4F5L738
427;4.1;5999;B08MTCKDYN
428;4.1;50772;B09QS8V5N8
429;4.3;13391;B08CF3D7QR
430;3.9;25824;B09T2WRLJJ
431;4.0;14404;B089WB69Y1
432;4.5;11339;B0116MIKKC
433;4.0;3626;B09P858DK8
434;4.0;32625;B07DJLFMPS
435;4.1;19252;B07WHQWXL7
436;4.1;19252;B07WDK3ZS6
437;3.9;25824;B09T2S8X9C
438;4.1;161679;B07S9S86BF
439;4.1;16685;B07N8RQ6W7
440;4.0;30907;B09FKDH6FS
441;4.3;178912;B08HVJCW95
442;4.0;128311;B09YDFDVNS
443;4.1;19252;B07WGPKTS4
444;4.2;94364;B0789LZTCJ
445;4.0;7222;B09MZCQYHZ
446;4.1;18998;B0B4F2ZWL3
447;4.2;32916;B08VB2CMR3
448;4.6;26603;B095RTJH1M
449;4.0;6795;B097R25DP7
450;4.0;128311;B09YDFKJF8
451;4.3;9499;B07WDK3ZS2
452;4.3;1777;B08RZ5K9YH
453;4.2;58506;B08444S68L
454;4.0;2135;B07WHQBZLS
455;4.2;2263;B085DTN6R2
456;4.0;9378;B09JS562TP
457;4.1;4768;B09KLVMZ3B
458;3.9;21796;B09V17S2BG
459;3.8;17833;B0B5CGTBKV
460;4.7;7779;B0B23LW7NV
461;4.3;17129;B09KGV7WSV
462;4.2;4969;B0971DWFDT
463;4.1;154;B0BNV7JM5Y
464;3.3;4415;B0B53QFZPY
465;4.4;18757;B083342NKJ
466;4.0;2135;B07WJWRNVK
467;4.2;31539;B01F25X6RQ
468;4.5;815;B09C6HXFC1
469;4.6;6129;B0B244R4KB
470;4.2;284;B0BMGG6NKT
471;4.0;43994;B082LSVT4B
472;3.7;3234;B092JHPL72
473;4.1;13045;B08WRBG3XW
474;4.1;313832;B09GFM8CGS
475;4.2;20879;B0B3MWYCHQ
476;4.2;2646;B09J2MM5C6
477;4.5;28978;B07Q4QV1DL
478;3.8;3145;B0B56YRBNT
479;4.0;9377;B09NHVCHS9
480;4.1;192589;B01DF26V7A
481;3.8;16557;B08K4PSZ3V
482;4.1;18998;B0B4F1YC3J
483;3.8;16557;B08K4RDQ71
484;4.2;21916;B085CZ3SR1
485;4.2;29472;B09YV3K34W
486;4.2;1949;B09Z6WH2N1
487;4.0;9377;B09NL4DJ2Z
488;3.5;37;B0BGSV43WY
489;4.3;2351;B0926V9CTV
490;4.1;19253;B07WGPKMP5
491;3.9;218;B0BBFJ9M3X
492;3.9;7571;B09PLFJ7ZW
493;3.3;4415;B0B53NXFFR
494;4.0;18654;B07GNC2592
495;4.0;3197;B09TP5KBN7
496;4.0;2688;B0949SBKMP
497;3.9;21796;B09V175NP7
498;4.3;9499;B07WHSJXLF
499;4.1;56098;B0BD3T6Z1D
500;4.1;31822;B09LHYZ3GJ
501;4.3;9499;B07WFPMGQQ
502;4.1;50772;B09QS9X9L8
503;4.1;7148;B0B6BLTGTT
504;4.3;2085;B077Z65HSD
505;4.4;184;B09W5XR9RT
506;4.2;3492;B084DTMYWK
507;3.3;4415;B0B53QLB9H
508;4.4;6726;B0BDYW3RN3
509;4.3;27704;B0B3RS9DNF
510;4.1;50772;B09QS9X16F
511;4.0;92588;B08HV25BBQ
